"","X","Full Name","Team","Salary ($)","Total Minutes","Appearances","Total Possible Minutes","Appearance Weight","xGoals","Offensive Contribution to Team","Defensive Contribution to Team","Total Expected Player Contribution to Team","EPG"
"238",1,"Andrew Farrell","NE",446200,1233,14,1344,0.917410714285714,0,0.169608351945648,0.673469387755102,0.773448551377251,1.33806599388264
"52",8,"Hector Jimenez","CLB",3e+05,422,6,576,0.732638888888889,0.01,0.194223076035526,0.857142857142857,0.770271569099441,1.33256981454203
"53",7,"Harrison Afful","CLB",576666.67,877,11,1056,0.830492424242424,0.05,0.26882152501477,0.657142857142857,0.769006404500226,1.33038107978539
"239",13,"Juan Agudelo","NE",977500,884,13,1248,0.708333333333333,0.39,0.738223942606832,0.346938775510204,0.7686569253329,1.32977648082592
"349",5,"Darlington Nagbe","POR",1115000,881,10,960,0.917708333333333,0.11,0.41337262332324,0.421052631578947,0.765759009967528,1.32476308724382
"122",19,"Patrick Nyarko","DC",485750,508,7,672,0.755952380952381,0.13,0.340039448379616,0.666666666666667,0.761021884588559,1.31656786033821
"123",6,"Ian Harkes","DC",213237.5,996,12,1152,0.864583333333333,0.09,0.322952827431009,0.555555555555556,0.7595437061238,1.31401061159417
"412",13,"Shaun Francis","SJ",238333.33,691,8,768,0.899739583333333,0.05,0.196904718316667,0.642857142857143,0.755566987071748,1.30713088763412
"167",25,"Sebastian Lletget","LA",472666.67,270,3,288,0.9375,0.02,0.197355876484792,0.607843137254902,0.754874075380963,1.30593215040907
"322",4,"C.J. Sapong","PHI",NA,1111,14,1344,0.826636904761905,0.52,0.657488388297266,0.25,0.750163392409422,1.2977826688683
"143",1,"A.J. DeLaGarza","HOU",NA,1080,12,1152,0.9375,0.01,0.189853654605103,0.608695652173913,0.748639975105327,1.29514715693222
